custateomer,state,gender,education,custateomer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,vehicle_classs,customer,customer_lifetime_value
KY38074,California,F,Bachelor,1389173.0,42305,117,0,Personal Auto,Four-Door Car,561,Four-Door Car,,
DM79012,Oregon,F,Master,738097.0,65706,91,0,Personal Auto,Four-Door Car,436,Four-Door Car,,
CM61827,Oregon,F,Bachelor,309003.0,0,90,0,Personal Auto,Two-Door Car,648,Two-Door Car,,
WC35801,Arizona,F,High School or Below,252163.0,53243,66,2,Personal Auto,Four-Door Car,157,Four-Door Car,,
QG25316,Nevada,F,High School or Below,265206.0,0,70,1,Corporate Auto,Two-Door Car,484,Two-Door Car,,
MB98372,Oregon,F,College,277104.0,50071,71,0,Corporate Auto,Two-Door Car,18,Two-Door Car,,
IL19217,California,F,Bachelor,393900.0,60021,99,0,Personal Auto,Four-Door Car,882,Four-Door Car,,
SR38658,Arizona,F,High School or Below,1223187.0,43244,103,0,Personal Auto,Sports Car,494,Luxury,,
YD87931,Washington,M,Doctor,495165.0,46896,35354,1,Personal Auto,Four-Door Car,31,Four-Door Car,,
HG65722,Oregon,F,Doctor,1281910.0,10105,172,3,Personal Auto,SUV,0,SUV,,
BU27331,Arizona,F,Bachelor,446851.0,0,73,3,Personal Auto,Four-Door Car,579,Four-Door Car,,
XM45289,Oregon,F,High School or Below,551434.0,23218,71,0,Personal Auto,Two-Door Car,447,Two-Door Car,,
KP34198,California,F,Bachelor,334387.0,0,92,0,Corporate Auto,Four-Door Car,529,Four-Door Car,,
SH90947,Arizona,F,High School or Below,229447.0,0,62,0,Personal Auto,Four-Door Car,313,Four-Door Car,,
WE95729,Oregon,F,College,3670742.0,24804,104,0,Personal Auto,SUV,593,SUV,,
PY51963,California,F,Bachelor,3347334.0,33190,106,0,Corporate Auto,SUV,508,SUV,,
RB69909,Nevada,F,High School or Below,798343.0,36014,69,3,Special Auto,Four-Door Car,173,Four-Door Car,,
NW21079,Washington,F,Master,487938.0,67163,61,2,Personal Auto,Two-Door Car,33,Two-Door Car,,
FR46645,California,F,Bachelor,429399.0,16701,113,0,Personal Auto,Four-Door Car,831,Four-Door Car,,
SY17488,Arizona,F,College,716439.0,46623,91,0,Corporate Auto,Four-Door Car,436,Four-Door Car,,
AP67935,California,F,College,761951.0,64749,64,0,Special Auto,Four-Door Car,302,Four-Door Car,,
FS37417,Arizona,F,High School or Below,395800.0,0,101,0,Personal Auto,SUV,484,SUV,,
ML29312,Oregon,F,High School or Below,449949.0,16969,124,2,Personal Auto,SUV,704,SUV,,
UB61619,Oregon,F,Master,405956.0,11621,108,0,Personal Auto,Four-Door Car,518,Four-Door Car,,
CD86811,Arizona,F,Bachelor,445811.0,17622,65,1,Personal Auto,Four-Door Car,312,Four-Door Car,,
RU83859,California,F,Bachelor,811033.0,11489,105,0,Personal Auto,Two-Door Car,504,Two-Door Car,,
FG63582,Oregon,F,Bachelor,333976.0,0,94,0,Personal Auto,Two-Door Car,863,Two-Door Car,,
NN71951,California,F,High School or Below,2426101.0,66525,100,0,Personal Auto,SUV,104,SUV,,
WB37082,Arizona,F,Bachelor,661397.0,0,63,0,Personal Auto,Four-Door Car,676,Four-Door Car,,
SM52139,Washington,F,College,293069.0,33663,73,0,Personal Auto,Four-Door Car,350,Four-Door Car,,
FL82372,Oregon,F,College,867219.0,22547,112,0,Corporate Auto,SUV,537,SUV,,
DP45816,Arizona,F,High School or Below,1163866.0,61486,97,0,Personal Auto,Two-Door Car,465,Two-Door Car,,
GW33762,Oregon,F,Bachelor,684615.0,0,95,0,Personal Auto,Two-Door Car,456,Two-Door Car,,
RZ33670,California,F,College,1172777.0,29879,102,0,Personal Auto,Four-Door Car,500,Four-Door Car,,
PY70169,Oregon,F,High School or Below,2264383.0,93011,113,0,Personal Auto,SUV,281,SUV,,
MO91628,Oregon,F,Master,261447.0,65186,65,0,Personal Auto,Two-Door Car,5,Two-Door Car,,
HW87852,Oregon,F,Master,245175.0,26840,64,2,Personal Auto,Four-Door Car,307,Four-Door Car,,
HB20453,Oregon,F,Bachelor,678127.0,0,104,1,Personal Auto,Sports Car,982,Luxury,,
BN87372,Oregon,F,Bachelor,497480.0,75644,65,3,Personal Auto,Two-Door Car,467,Two-Door Car,,
YX23800,Oregon,F,Bachelor,859160.0,38984,73,0,Personal Auto,Four-Door Car,350,Four-Door Car,,
DZ87709,Oregon,F,High School or Below,559216.0,71811,71,0,Personal Auto,Four-Door Car,29,Four-Door Car,,
XW13033,Nevada,F,College,800947.0,20961,67,0,Personal Auto,Four-Door Car,321,Four-Door Car,,
SP81997,Washington,F,Master,588174.0,41275,96,0,Personal Auto,Four-Door Car,41,Four-Door Car,,
OM82309,California,F,Bachelor,5816655.0,61321,186,1,Personal Auto,Luxury Car,427,Luxury,,
ZU35962,California,F,College,802522.0,0,77,0,Personal Auto,Two-Door Car,25,Two-Door Car,,
VH85817,California,F,High School or Below,578018.0,51066,74,0,Personal Auto,Four-Door Car,787,Four-Door Car,,
DT85712,California,F,Doctor,411853.0,34378,102,0,Personal Auto,SUV,489,SUV,,
YJ88573,Nevada,F,Master,252307.0,43072,63,0,Personal Auto,Four-Door Car,302,Four-Door Car,,
SQ19467,Oregon,F,College,655421.0,25222,90,0,Personal Auto,Four-Door Car,475,Four-Door Car,,
YB66933,Washington,F,Bachelor,538275.0,77552,68,1,Corporate Auto,Four-Door Car,45,Four-Door Car,,
ET79815,California,F,College,592672.0,23091,96,5,Personal Auto,Four-Door Car,460,Four-Door Car,,
QC35222,California,F,Bachelor,268347.0,48269,69,3,Corporate Auto,Four-Door Car,282,Four-Door Car,,
CJ15590,Oregon,F,Bachelor,269518.0,32720,67,0,Personal Auto,Four-Door Car,321,Four-Door Car,,
OI48267,California,F,College,604702.0,20396,76,1,Personal Auto,Four-Door Car,364,Four-Door Car,,
JY67916,Oregon,F,College,1317101.0,21513,119,1,Personal Auto,Two-Door Car,679,Two-Door Car,,
OW15518,Washington,F,College,1595001.0,0,87,1,Personal Auto,Two-Door Car,46,Two-Door Car,,
CZ33664,Oregon,F,Bachelor,252765.0,80744,63,0,Corporate Auto,Four-Door Car,11,Four-Door Car,,
WK30175,Oregon,F,Bachelor,267209.0,52822,67,0,Corporate Auto,Two-Door Car,350,Two-Door Car,,
ON44465,California,F,High School or Below,531329.0,0,77,1,Personal Auto,Four-Door Car,863,Four-Door Car,,
TV87155,Oregon,F,Bachelor,2094619.0,69738,74,1,Personal Auto,Four-Door Car,492,Four-Door Car,,
KH48895,Arizona,F,Master,837535.0,17780,109,0,Personal Auto,SUV,132,SUV,,
NZ30757,California,F,Bachelor,480166.0,18107,62,0,Personal Auto,Four-Door Car,297,Four-Door Car,,
RI22468,Arizona,F,Bachelor,574594.0,57740,74,3,Personal Auto,Four-Door Car,269,Four-Door Car,,
FZ30935,Oregon,F,College,606611.0,32627,76,0,Personal Auto,Two-Door Car,380,Two-Door Car,,
UG93476,California,F,College,800230.0,0,107,0,Personal Auto,SUV,513,SUV,,
AB96670,California,F,College,239391.0,0,70,0,Personal Auto,Four-Door Car,425,Four-Door Car,,
XK64261,Oregon,F,Bachelor,476281.0,65795,62,1,Corporate Auto,Two-Door Car,49,Two-Door Car,,
EV68375,California,F,College,433038.0,60475,107,0,Personal Auto,Four-Door Car,513,Four-Door Car,,
UN51653,California,F,High School or Below,940272.0,0,130,0,Personal Auto,SUV,936,SUV,,
TO96662,Oregon,F,Bachelor,696669.0,41837,88,0,Personal Auto,Four-Door Car,142,Four-Door Car,,
MR52087,California,F,Bachelor,769406.0,32303,65,0,Personal Auto,Four-Door Car,45,Four-Door Car,,
DE75225,Oregon,F,High School or Below,871756.0,0,117,1,Personal Auto,SUV,561,SUV,,
EP80820,California,F,Bachelor,592874.0,40531,74,0,Personal Auto,Two-Door Car,30,Two-Door Car,,
GU99037,Oregon,F,College,245297.0,79898,62,1,Corporate Auto,Four-Door Car,271,Four-Door Car,,
WI57118,California,F,College,670157.0,56398,85,0,Personal Auto,Four-Door Car,408,Four-Door Car,,
GP39118,Washington,M,High School or Below,499655.0,71600,63,0,Personal Auto,Two-Door Car,46,Two-Door Car,,
MQ14219,Arizona,F,College,849269.0,27804,109,0,Personal Auto,SUV,784,SUV,,
KN20603,Oregon,F,Bachelor,771349.0,45506,66,2,Personal Auto,Four-Door Car,316,Four-Door Car,,
SG20925,Washington,F,Master,518579.0,99428,6464,1,Personal Auto,Four-Door Car,48,Four-Door Car,,
JI70886,California,F,High School or Below,729006.0,0,102,1,Corporate Auto,SUV,489,SUV,,
VF72557,Oregon,F,High School or Below,477294.0,20993,133,0,Personal Auto,SUV,638,SUV,,
OX28638,Arizona,F,High School or Below,680649.0,37839,86,0,Personal Auto,Two-Door Car,465,Two-Door Car,,
SK55033,California,F,Bachelor,246978.0,92711,62,0,Personal Auto,Two-Door Car,368,Two-Door Car,,
OO88645,California,F,College,310392.0,74665,78,2,Corporate Auto,Four-Door Car,236,Four-Door Car,,
FM14335,Washington,F,College,1048491.0,61108,89,0,Personal Auto,Four-Door Car,49,Four-Door Car,,
CW82151,California,F,Bachelor,890273.0,46833,112,0,Personal Auto,Sports Car,64,Luxury,,
DY22043,Oregon,F,High School or Below,549944.0,88768,68,0,Personal Auto,Two-Door Car,326,Two-Door Car,,
SH36774,California,F,High School or Below,1502359.0,28262,192,0,Personal Auto,Luxury SUV,921,Luxury,,
EM43724,Nevada,F,Bachelor,250910.0,33555,63,0,Personal Auto,Four-Door Car,101,Four-Door Car,,
FH85960,Oregon,F,College,3122174.0,42780,113,1,Personal Auto,Four-Door Car,542,Four-Door Car,,
XA55993,Oregon,F,Master,313350.0,58850,78,0,Personal Auto,Four-Door Car,143,Four-Door Car,,
GO36627,Arizona,F,College,383745.0,21880,97,0,Special Auto,Four-Door Car,424,Four-Door Car,,
QH48047,Oregon,F,College,1179049.0,25251,66,0,Personal Auto,Four-Door Car,316,Four-Door Car,,
HS28694,Washington,F,High School or Below,282986.0,25317,71,0,Personal Auto,Two-Door Car,50,Two-Door Car,,
UH65059,Arizona,F,High School or Below,430580.0,24188,109,0,Personal Auto,Sports Car,523,Luxury,,
FV21968,Nevada,F,Bachelor,597397.0,41611,74,0,Special Auto,Four-Door Car,113,Four-Door Car,,
QA87025,Oregon,F,Bachelor,567044.0,28406,72,1,Personal Auto,Four-Door Car,192,Four-Door Car,,
TQ13499,Arizona,F,College,473174.0,69833,118,0,Personal Auto,Four-Door Car,828,Four-Door Car,,
BU44523,Arizona,F,High School or Below,802637.0,0,74,0,Corporate Auto,Four-Door Car,532,Four-Door Car,,
MS41162,Arizona,F,High School or Below,402296.0,0,117,0,Personal Auto,SUV,975,SUV,,
PU25891,Oregon,F,High School or Below,961831.0,80536,119,0,Special Auto,Sports Car,53,Luxury,,
LH92841,Washington,F,Bachelor,725595.0,88891,89,0,Personal Auto,Four-Door Car,50,Four-Door Car,,
SX26335,Oregon,F,College,955292.0,97732,79,0,Personal Auto,Four-Door Car,289,Four-Door Car,,
AZ95587,Arizona,F,Bachelor,1038855.0,61222,89,0,Special Auto,Four-Door Car,392,Four-Door Car,,
DS81757,Oregon,M,College,247012.0,0,74,0,Personal Auto,Two-Door Car,721,Two-Door Car,,
OJ94107,Arizona,M,Master,561906.0,50335,140,0,Personal Auto,SUV,456,SUV,,
LP84436,California,F,High School or Below,904711.0,0,127,0,Personal Auto,Sports Car,1087,Luxury,,
FF22360,Washington,F,Doctor,268731.0,82210,68,4,Personal Auto,Four-Door Car,51,Four-Door Car,,
LM19287,Oregon,F,High School or Below,373150.0,0,96,0,Personal Auto,Four-Door Car,460,Four-Door Car,,
ZU18643,Nevada,M,Bachelor,366077.0,64495,92,0,Corporate Auto,Four-Door Car,251,Four-Door Car,,
AZ82578,California,F,College,792882.0,0,72,0,Corporate Auto,Four-Door Car,345,Four-Door Car,,
XC67861,Arizona,F,Bachelor,501175.0,28859,67,3,Corporate Auto,Two-Door Car,321,Two-Door Car,,
YC43143,Arizona,F,High School or Below,798825.0,77330,99,0,Personal Auto,Four-Door Car,99,Four-Door Car,,
EK59571,Oregon,M,College,388545.0,0,105,0,Corporate Auto,Four-Door Car,504,Four-Door Car,,
PA38372,Washington,F,High School or Below,935773.0,33060,117,0,Personal Auto,Four-Door Car,56,Four-Door Car,,
RO18530,Washington,M,Master,254068.0,42557,65,0,Personal Auto,Four-Door Car,57,Four-Door Car,,
PD27940,Arizona,M,High School or Below,488516.0,26372,126,0,Personal Auto,SUV,604,SUV,,
BS77946,Arizona,F,Bachelor,975330.0,17514,127,0,Personal Auto,SUV,8,SUV,,
YM50253,California,F,Bachelor,294615.0,89270,74,0,Personal Auto,Four-Door Car,316,Four-Door Car,,
NR15332,California,M,High School or Below,258111.0,29757,65,0,Personal Auto,Four-Door Car,312,Four-Door Car,,
RC62865,Oregon,M,College,351738.0,51814,92,0,Personal Auto,Four-Door Car,56,Four-Door Car,,
CC15295,Oregon,F,Bachelor,974335.0,24028,82,0,Personal Auto,Four-Door Car,393,Four-Door Car,,
KA61892,Arizona,M,College,387364.0,28142,105,0,Personal Auto,Sports Car,701,Luxury,,
OS94884,Arizona,F,Bachelor,764928.0,52705,64,1,Personal Auto,Two-Door Car,128,Two-Door Car,,
ND87334,California,M,High School or Below,228759.0,0,63,0,Corporate Auto,Two-Door Car,679,Two-Door Car,,
OY51402,Washington,F,High School or Below,825576.0,54040,103,0,Personal Auto,SUV,59,SUV,,
YL74911,California,F,College,871492.0,0,118,0,Personal Auto,SUV,566,SUV,,
GK92563,Washington,F,Doctor,681923.0,22492,85,0,Personal Auto,Two-Door Car,61,Two-Door Car,,
HL53154,California,M,Bachelor,741619.0,0,77,2,Personal Auto,Four-Door Car,554,Four-Door Car,,
RI78966,Oregon,M,Master,777115.0,21876,68,0,Personal Auto,Four-Door Car,465,Four-Door Car,,
IC13702,California,F,Bachelor,696834.0,0,69,1,Personal Auto,Four-Door Car,496,Four-Door Car,,
BE10809,California,F,High School or Below,425028.0,0,61,1,Personal Auto,Four-Door Car,292,Four-Door Car,,
HT87217,Oregon,F,High School or Below,1977656.0,70699,82,0,Personal Auto,Four-Door Car,256,Four-Door Car,,
TH95618,California,F,High School or Below,2134346.0,0,74,1,Personal Auto,Four-Door Car,355,Four-Door Car,,
TS19868,California,M,College,241313.0,27501,63,0,Personal Auto,Four-Door Car,542,Four-Door Car,,
LP45550,Oregon,F,Doctor,1536384.0,15897,101,0,Personal Auto,Four-Door Car,303,Four-Door Car,,
QR87004,Nevada,F,College,845696.0,25141,73,1,Personal Auto,Four-Door Car,25,Four-Door Car,,
OE75747,Nevada,F,College,218964.0,0,61,3,Personal Auto,Four-Door Car,292,Four-Door Car,,
DX91392,California,M,High School or Below,578018.0,51066,74,0,Personal Auto,Four-Door Car,787,Four-Door Car,,
AB72731,California,F,Bachelor,463998.0,28358,117,0,Personal Auto,Sports Car,84,Luxury,,
GX84338,Washington,F,Doctor,382443.0,62530,95,0,Personal Auto,Four-Door Car,61,Four-Door Car,,
IS12901,Arizona,F,Bachelor,596811.0,90972,74,0,Personal Auto,Two-Door Car,232,Two-Door Car,,
BN90616,Washington,F,Bachelor,859033.0,63110,72,0,Personal Auto,Four-Door Car,68,Four-Door Car,,
HH90090,California,F,Bachelor,407663.0,29549,104,0,Personal Auto,Sports Car,710,Luxury,,
IU25463,California,F,Bachelor,1225260.0,0,115,1,Personal Auto,Four-Door Car,552,Four-Door Car,,
KC11055,Nevada,F,Bachelor,1693627.0,39411,217,2,Personal Auto,Luxury Car,1122,Luxury,,
PD33979,Oregon,M,High School or Below,489243.0,21709,62,0,Personal Auto,Four-Door Car,408,Four-Door Car,,
NK71023,Nevada,M,Bachelor,994230.0,67890,85,0,Personal Auto,Four-Door Car,408,Four-Door Car,,
AB13432,California,M,Bachelor,373583.0,0,110,0,Personal Auto,SUV,792,SUV,,
OZ97704,California,F,High School or Below,1311752.0,84311,111,4,Personal Auto,SUV,532,SUV,,
UF46533,California,F,College,457452.0,99316,114,0,Corporate Auto,SUV,754,SUV,,
XP47431,Arizona,F,Bachelor,547006.0,54507,138,0,Personal Auto,SUV,702,SUV,,
GK73582,California,F,Bachelor,297884.0,64586,76,0,Personal Auto,Four-Door Car,206,Four-Door Car,,
RV98763,Oregon,M,College,641096.0,61709,82,2,Personal Auto,Four-Door Car,275,Four-Door Car,,
II62831,California,M,Master,447902.0,94656,111,1,Special Auto,SUV,459,SUV,,
XK33449,California,F,High School or Below,238373.0,0,69,0,Special Auto,Two-Door Car,496,Two-Door Car,,
TR85083,California,M,Bachelor,276449.0,61085,70,1,Personal Auto,Two-Door Car,336,Two-Door Car,,
EO95328,Oregon,F,Bachelor,792010.0,89284,67,3,Personal Auto,Two-Door Car,321,Two-Door Car,,
EN21086,Arizona,F,High School or Below,688909.0,0,63,0,Personal Auto,Four-Door Car,302,Four-Door Car,,
YL83902,Washington,F,Bachelor,327419.0,31686,81,0,Personal Auto,Four-Door Car,430,Four-Door Car,,
AZ62651,Oregon,M,High School or Below,995170.0,56855,255,0,Corporate Auto,Luxury SUV,1836,Luxury,,
ZW25874,Oregon,M,Bachelor,252155.0,53703,67,2,Special Auto,Four-Door Car,67,Four-Door Car,,
EH41854,Washington,F,High School or Below,2370611.0,0,96,1,Personal Auto,Two-Door Car,844,Two-Door Car,,
MW70227,California,M,College,604702.0,20396,76,1,Personal Auto,Four-Door Car,364,Four-Door Car,,
SL22297,California,F,Master,1114030.0,27679,150,0,Personal Auto,SUV,722,SUV,,
RV14138,Nevada,F,Bachelor,433406.0,23904,123,3,Personal Auto,SUV,590,SUV,,
UO62808,Arizona,F,High School or Below,279974.0,65351,69,0,Corporate Auto,Four-Door Car,481,Four-Door Car,,
ZX64745,California,M,College,792313.0,0,113,0,Personal Auto,SUV,1124,SUV,,
FL34139,California,M,High School or Below,368811.0,0,63,3,Personal Auto,Four-Door Car,669,Four-Door Car,,
TS11219,California,M,College,1206745.0,0,116,0,Personal Auto,SUV,1284,SUV,,
XX12304,California,F,College,292497.0,64459,72,0,Personal Auto,Four-Door Car,240,Four-Door Car,,
SD64087,California,M,College,1501409.0,32961,190,0,Corporate Auto,SUV,912,SUV,,
OY38576,Oregon,F,High School or Below,927723.0,71416,116,0,Corporate Auto,SUV,556,SUV,,
BG76355,Washington,F,Bachelor,627412.0,68964,78,0,Personal Auto,Four-Door Car,115,Four-Door Car,,
IP66913,California,M,High School or Below,388664.0,78108,98,0,Personal Auto,Two-Door Car,470,Two-Door Car,,
LE95702,California,M,College,438627.0,10621,67,0,Special Auto,Four-Door Car,321,Four-Door Car,,
KX54357,Washington,M,College,1136526.0,84910,95,0,Corporate Auto,Two-Door Car,383,Two-Door Car,,
EZ78112,California,F,High School or Below,561096.0,77493,70,0,Special Auto,Four-Door Car,307,Four-Door Car,,
XN16891,Arizona,M,College,291289.0,81097,74,0,Personal Auto,Four-Door Car,355,Four-Door Car,,
XK31350,Oregon,F,College,691572.0,96610,85,0,Corporate Auto,Four-Door Car,520,Four-Door Car,,
CC30924,Oregon,M,College,626266.0,30110,159,0,Corporate Auto,Sports Car,466,Luxury,,
IT78748,Oregon,F,High School or Below,650339.0,22081,84,0,Special Auto,Two-Door Car,451,Two-Door Car,,
KY33386,Washington,F,High School or Below,800739.0,0,112,0,Personal Auto,Sports Car,537,Luxury,,
CO44221,California,M,College,292991.0,98473,72,0,Personal Auto,Four-Door Car,345,Four-Door Car,,
LK60013,Oregon,F,Bachelor,596955.0,97431,74,0,Personal Auto,Four-Door Car,355,Four-Door Car,,
DE21533,California,M,Bachelor,547315.0,93870,69,0,Personal Auto,Four-Door Car,331,Four-Door Car,,
YS94121,Nevada,M,High School or Below,564539.0,50366,72,0,Personal Auto,Four-Door Car,428,Four-Door Car,,
UK68427,Washington,M,High School or Below,636926.0,34498,83,0,Personal Auto,Two-Door Car,398,Two-Door Car,,
TE49565,Oregon,F,College,1183376.0,16552,103,0,Personal Auto,SUV,494,SUV,,
RA88421,Oregon,F,College,612110.0,26787,77,0,Personal Auto,Four-Door Car,369,Four-Door Car,,
KQ51983,Nevada,M,College,515936.0,0,74,0,Personal Auto,Two-Door Car,831,Two-Door Car,,
CD88896,Nevada,F,High School or Below,251459.0,43860,65,0,Corporate Auto,Four-Door Car,156,Four-Door Car,,
YV22553,Arizona,M,High School or Below,866861.0,21474,114,2,Corporate Auto,SUV,373,SUV,,
WU14435,California,M,Bachelor,496096.0,18174,66,0,Corporate Auto,Four-Door Car,395,Four-Door Car,,
XV84099,Arizona,F,Bachelor,550413.0,0,73,0,Corporate Auto,Four-Door Car,350,Four-Door Car,,
RI24911,Arizona,M,College,750745.0,60920,64,0,Personal Auto,Two-Door Car,231,Two-Door Car,,
KO26461,Arizona,M,High School or Below,3226985.0,41520,90,0,Personal Auto,Four-Door Car,289,Four-Door Car,,
HI14283,Oregon,F,Bachelor,565703.0,0,152,0,Personal Auto,SUV,729,SUV,,
PT50227,Arizona,M,High School or Below,506175.0,0,68,0,Personal Auto,Two-Door Car,326,Two-Door Car,,
BH36570,California,M,Bachelor,591278.0,72208,73,0,Personal Auto,Two-Door Car,350,Two-Door Car,,
TX17484,California,F,Bachelor,1518227.0,53863,63,0,Personal Auto,Four-Door Car,105,Four-Door Car,,
CT41158,Washington,M,College,1074703.0,66446,136,0,Corporate Auto,SUV,639,SUV,,
AO87348,Washington,M,College,205062.0,0,61,0,Personal Auto,Four-Door Car,292,Four-Door Car,,
DE55857,Washington,F,Bachelor,246544.0,64997,63,1,Personal Auto,Four-Door Car,383,Four-Door Car,,
LF66923,Nevada,F,High School or Below,534312.0,64460,66,0,Corporate Auto,Two-Door Car,316,Two-Door Car,,
CN24514,Arizona,F,College,811982.0,46618,67,0,Personal Auto,Four-Door Car,99,Four-Door Car,,
UW32074,Oregon,F,College,460526.0,0,64,0,Corporate Auto,Four-Door Car,307,Four-Door Car,,
HP36979,California,M,College,640878.0,49988,84,5,Personal Auto,Two-Door Car,566,Two-Door Car,,
PP40919,California,F,College,237653.0,0,91,5,Personal Auto,Two-Door Car,436,Two-Door Car,,
RO73268,California,M,Bachelor,321107.0,16269,86,0,Corporate Auto,Two-Door Car,412,Two-Door Car,,
HO61691,Arizona,F,Bachelor,509452.0,72006,64,0,Personal Auto,Four-Door Car,307,Four-Door Car,,
BS13062,Arizona,F,High School or Below,2575527.0,0,81,2,Personal Auto,Four-Door Car,388,Four-Door Car,,
FO35655,Oregon,M,Bachelor,867222.0,0,245,0,Corporate Auto,Luxury SUV,2345,Luxury,,
HR10526,California,M,Master,804473.0,44320,67,0,Personal Auto,Four-Door Car,321,Four-Door Car,,
IA63417,Arizona,F,High School or Below,400151.0,19782,108,0,Personal Auto,Two-Door Car,773,Two-Door Car,,
BH35016,Nevada,F,Bachelor,1670611.0,63933,70,0,Personal Auto,Two-Door Car,424,Two-Door Car,,
PK52952,Arizona,M,Doctor,854441.0,28224,109,0,Personal Auto,SUV,523,SUV,,
OD76309,Washington,F,College,780531.0,21073,106,1,Personal Auto,SUV,508,SUV,,
IL28481,Oregon,M,Bachelor,611275.0,63243,77,0,Personal Auto,Four-Door Car,364,Four-Door Car,,
GY55092,Nevada,M,High School or Below,477294.0,20993,133,0,Personal Auto,SUV,638,SUV,,
UF33451,Oregon,F,Bachelor,1097909.0,94827,135,0,Personal Auto,SUV,354,SUV,,
CF15558,California,F,Master,500426.0,39161,63,1,Personal Auto,Two-Door Car,283,Two-Door Car,,
JM62924,Washington,M,Bachelor,1322304.0,37534,84,2,Personal Auto,Four-Door Car,403,Four-Door Car,,
EM66435,Oregon,F,Bachelor,262331.0,80210,65,0,Corporate Auto,Four-Door Car,20,Four-Door Car,,
